id,name,duration,thumbnail,path,lyrics,release_date
1,Mưa Nào Mà Hông Tạnh,213,https://lh3.googleusercontent.com/OJgOcfA4s4nvvwMA5DW69-7mNv-luYMFjxHZvBJb_39U-NsEHuC9wIV4LZ2MjPiMNuZr3qWNRzV19Po=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/QBwHFpXk-Mo.mp3,,
2,Shay Nắnggg,209,https://lh3.googleusercontent.com/pjPpz6PDgvcr93DPiBEWPLRgTifxklYSZVawv6Ezp5NSnEjzMlZ02tWFM-sQSU8wEZnbHOoF8HB57MQ63A=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/MQa_NeoMhsQ.mp3,,
3,ưng quá chừng,82,https://lh3.googleusercontent.com/dVbgJckIqUGz4DNerjDzGWs23ka7DGXP1iA4mwggZ3pKHuLO4dExNPNh8KS5zS2XwACfiJvHdzJF_vGP=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/gzaTn4BHLZo.mp3,,
4,Sao Anh Chưa Về Nhà (feat. Ricky Star),248,https://lh3.googleusercontent.com/aZbQ7gsAizgC-A6F0tKKXMEloOTFtI3XrjEZmr6JEfUHQM2qUciUm_wmnuYFjEPBZHPN__S2H9r7BXSm9A=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/2FIewNo4K3s.mp3,,
5,anh nhà ở đâu thế,216,https://lh3.googleusercontent.com/7C5RCiox3tK-FlJUnjlhrKFttQSi0YtXteGMaSsLiGmdkEoq3F0tZ6FpVs7JNaWYV0YFFsCRKw1CTV4=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/0pX2LGd6pUQ.mp3,,
6,Chúng Ta Của Tương Lai,250,https://lh3.googleusercontent.com/wox7fceHTKj6eps4V4dO11iER1XzEDPKd2cP6AEhWa8Opy3ha5rUegpZhBlQ-kfWM6RaoPUXmGgNLls=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/rAbJBorb8Qo.mp3,,
7,Chúng Ta Của Hiện Tại,302,https://lh3.googleusercontent.com/R96C4cCNuVOuaKpo8AfoM2ienXSOY3rhljcOi2_7Cg1KnjyZ3hr1X_A5Z8G5vOg645yG6P8txcu1r5kI=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/bNp9pn0ni3I.mp3,,
8,MAKING MY WAY,259,https://lh3.googleusercontent.com/4W7UzpwfJwYvB--1T8UQ6FdLBCfPH2zTElbCwnNp_wKYA_WvEJOvSNO9dg27YKbs1Wa8Y05iXhXL4hsL=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/-E2u6exhzPE.mp3,,
9,Hãy Trao Cho Anh (feat. Snoop Dogg),246,https://lh3.googleusercontent.com/XUL3o2EPMtfAppLw5fDHBPqB8CmWLfsWQTalYQmhQAkAdlsWsVIdUgnT6lYfpYE_dBFdOYiWLlo70tgR=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/emMR03tG2CE.mp3,,
10,Muộn Rồi Mà Sao Còn,276,https://lh3.googleusercontent.com/P91TazxnU8veJCp9Uq8pb0lWCSd23QDO3_5xmVykXuFG98U_JgYLk4THqfqmSNp5SjHjB7M7KcQ_9bYQdQ=w120-h120-l90-rj,https://storage.googleapis.com/harmony-music-x.appspot.com/songs/dLoIOUe1oes.mp3,,
